# regular test

a-1	a	A A
a-2	a fvs1	A
a-3	a n a h u	A A N A Hx Up
a-4	sh a r a	Sh A R A
a-5	g a b a	Hb A B Aa
# a-6	b u y a n zwj a r b i n	B Op I A A A A R B Ip A

e-1	e	A E
e-2	e r t e	A E R Tp E
e-3	e n e l g e n	A E N E L G E A
# e-4	h i sh i g zwj e r d e n i	K Ip Sh Ip Hp A E R Dp E N Ip

i-1	i	A Ip
i-2	i sh i	A Ip Sh Ip
i-3	sh i l b i	Sh Ip L B Ip
i-4	s a i n	S A A Ip A

o-1	o	A Ob
o-2	o g t o	A Ob Hp Tp Ob
o-3	o m o g	A Ob M Ob Hp
# o-4	a l t a n zwj o r g i l	A A L Tp A A A Ob R G Ip L

u-1	u	A Up
u-2	u fvs1	A Op
u-3	u n u h u	A Op N Op Hx Up
# u-4	h a r a zwj u s u n	Hx2 A R A A Op S Op A
u-5	g a sh u u n	Hb A Sh Op O A
u-6	t a t u u	Tp A Tp Op U

oe-1	oe	A Ot
oe-2	oe m oe n oe	A Ot M Ot N Ot
# oe-3	h oe h ue zwj oe n d oe r	K Ot K O A Ot A Dp Ot R

ue-1	ue	A U
ue-2	ue fvs1	A O
ue-3	ue g e i g ue ue	A O G E A Ip G O U
ue-4	ue z ue ue l h ue	A O Ch O O L K O
# ue-5	ch i ng zwj ue n e n	Jb Ip A G A O N E A

lvs-1	a lvs sh i	A A Lv Sh Ip
lvs-2	o b o lvs	A Ob B Ob Lv

n-1	n a n d i n	N A A Dp Ip A
n-2	e n e r g i	A E N E R G Ip
n-3	b e lvs j i n mvs n i	B E Lv Cp Ip A - N2 Ip

ng-1/p-1	p i ng p a ng	Pp Ip A G Pp A A G2

b-1	b o r d o b u r i	B Ob R Dp Ob B Op R Ip
b-2	e l d e b	A E L Dp E B2

p-2	t a i p	Tp A A Ip Pp

h-1	h a h a h u	Hx2 A Hx A Hx Up
h-2	h e h e r e h ue	K E K E R E K O
h-3	b a h	B A K

g-1	g a g c a	Hb A Hp J A
g-2	z u ng g a g	Ch Op A G Hb A Hp
g-3	g e g e lvs n	G E G E Lv A

m-1	m a l t a m a l	M A L Tp A M A L
m-2	b a r d a m	B A R Dp A M2

l-1	l a b l a l t u	L A B L A L Tp Up
l-2	d a r u l a l	Dp A R Op L A L

s-1	s a g s a g a r	S A Hp S A Hb A R
s-2	t e ng g e s	Tp E A G G E S

sh-1	sh a m sh i h u	Sh A M Sh Ip Hx Up
sh-2	h e i sh	K E A Ip Sh

t-1	t a t a h u	Tp A Tp A Hx Up
t-2	f r o n t	W R Ob A Tp

d-1	d a r d a ng	Dp A R Dp A A G2
d-2	b a g a ch u u d	B A Hb A Jb Op O Dp

ch-1	ch a l ch i h u	Jb A L Jb Ip Hx Up
ch-2	h a r a ch	Hx2 A R A Jb

j-1	j a j i l a h u	Cp A Cp Ip L A Hx Up
j-2	j o r j	Cp Ob R Cp

z-1	z a r u c a	Ch A R Op J A
z-2	g a z a lvs g u u r	Hb A Ch A Lv Hb Op O R
z-3	a i z	A A A Ip Ch

c-1	c a c u g	J A J Op Hp
c-2	t a n c	Tp A A J

y-1	y a ng y ue	I A A G I U

r-1	r a d i y o	R A Dp Ip I Ob
r-2	h a sh i r	Hx2 A Sh Ip R
r-3	b ue r i n	B O R Ip A

w-1	w i t a m i n	Wb Ip Tp A M Ip A
w-2	sh u w a zr i	Sh Op Wb A Zz Ip
w-3	s l a w	S L A Wb

f-1	f a sh i s t	W A Sh Ip S Tp
